consensus_id,标题,关联条款编号,适用场景,解释内容,判定结果,扣分分值,关键词,示例问题,来源文件,更新时间,状态,备注
CS-0150,原保期计算逻辑,42,物料效期问题,"关于物料原包装保质期是否过期计算逻辑同步 例如： 某物料生产日期为20240618，保质期5天（0618，0619，0620，0621，0622）,即到期日期为20240622，20240622为保质期内的最后一天，故20240623 00：00过期 情形一：原包装上已明确写明【到期日期】的物料(一般到期日期位置与生产日期在同一位置，可查看食品标签内提示)，【到期日期】的后一天即为【过期日期】，系统内填写【过期日期】的0点 例如：以仙草为例，食品标签上未标注保质期，罐身上告知【生产日期】位置，同时可看到【有效日期】，【有效日期】即为【到期时间】（具体描述名词可能存在差异，概念一样）故20260105为保质期内的最后一天，即于20260106 0点 过期 情形二：原包装上未明确写明【到期日期】的物料，但标注了【生产日期】及保质期，可用微信小程序【保质期计算器】进行计算，得到【到期日期】后，【到期日期】的后一天即为【过期日期】，系统内填写【过期日期】的0点 例如：以茶叶为例，食品标签上未标注【到期日期】，标注了【生产日期】及保质期，使用【保质期计算器】可得【到期日期】为20251026，故20251026为保质期内的最后一天，即于20251027 0点 过期（过期按天数计算，不精确到小时分钟秒，左下角7：44：18不做参考）",按场景判定,,原保期计算逻辑|例如|保质期5天（0618|故20240623|00：00过期|可查看食品标签内提示,原保期计算逻辑,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0153,超废弃和赏味期同一时间,42,物料效期问题,两个时间一致且过期的情况下按赏味期扣分,按场景判定,,超废弃和赏味期同一时间,超废弃和赏味期同一时间,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0154,门店操作问题参考出品表,None,证照/记录/人员规范,关于门店操作问题以出品表为准，出品表内未写的问题不做记录，如奶盖过稀过稠不在表内，不做记录 若觉得门店该操作会影响产品品质，但出品表内无对应问题点，可以反馈教研伙伴，询问是否要加入到出品表内，但现阶段表内若没有对应问题点的均不记录,按场景判定,,门店操作问题参考出品表|如奶盖过稀过稠不在表内|不做记录|但出品表内无对应问题点|可以反馈教研伙伴|询问是否要加入到出品表内,门店操作问题参考出品表,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0157,以包装保质期为准的物料风味贴错误,39,物料效期问题,关于门店稽核时，遇到如赤砂糖等风味贴上标注最佳赏味期【以包装保质期为准】的物料，如未按以上正确操作执行，扣【风味贴错误】,按场景判定,,关于门店稽核时|如未按以上正确操作执行|扣【风味贴错误】,以包装保质期为准的物料风味贴错误,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0159,稽核时物料刚过期且门店忙碌,42,物料效期问题,对于门店处于忙碌状态（持续在操作），发现物料效期刚好到期，没有立刻废弃的，给到3分钟的观察期。 例如：珍珠12:00到期，稽核专员12:01发现珍珠过期，此时门店调饮区持续在操作饮品，则12:00-12:03属于观察期。 观察期内，对过期物料先不做扣分，看员工是否在观察期内废弃掉物料： 1、如废弃，本次作为提醒项，不扣分； 2、如未废弃，则做扣分。 3、此过程中，如发现门店要使用过期物料，则需要立刻制止使用并废弃，并记录扣分,否,0,发现物料效期刚好到期|没有立刻废弃的|给到3分钟的观察期|例如：珍珠12:00到期|观察期内|对过期物料先不做扣分,稽核时物料刚过期且门店忙碌,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0160,咖啡机稽核点,35,设备器具清洁/霉变/积垢,咖啡机增项以下稽核点 1.出液头，有明显陈旧性积垢【一般呈褐色】，用手无法擦拭干净 2.蒸汽棒，蒸汽棒或蒸汽棒头有明显陈旧性积垢【一般呈褐色】，用手无法擦拭干净 3.咖啡机身，咖啡机外壁有明显陈旧性积垢【一般呈褐色】或奶垢，用手无法擦拭干净 4.咖啡机顶盖，顶盖积灰严重 图片详见案例,按场景判定,,咖啡机稽核点|咖啡机增项以下稽核点|1.出液头|用手无法擦拭干净|2.蒸汽棒|3.咖啡机身,咖啡机稽核点,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0161,设备相关外购管理共识,311,外购与非认可物料/器具,"1. 冷藏冷冻未走【外购审批】但在【已外购冷藏冷冻设备报备流程】内 冷藏冷冻未走【外购审批】但在【已外购冷藏冷冻设备报备流程】内不进行扣分 ，且不需要提醒门店补交【外购审批】，后续也不因为门店未补交【外购审批】扣分 具体【已外购冷藏冷冻设备报备流程】清单，详见【稽核答疑群】（图1） 2. 外购政府单位/外部机构强制购买的设备/工器具 政府单位/外部机构有要求必须要使用他们规定的设备/工器具的(举例：学校店要求统一的标签机等),需要 提交外购审批做门店留档，此期间如发生稽核仅提醒不扣分； 3. 门店早期外购的设备器具 门店早期外购设备器具，后续提交审批被拒，若 拒绝原因是资质类 （发票无法提供等）不全， 不扣分； 4. 接手店内发现外购物品无审批 接手店内发现外购物品无审批若门店为接手店，不清楚设备器具是否外购， 第一次提醒，第二次扣分； 5、外购认可货物无审批，24h内购买物料且报备督导同意购买使用，不扣分",否,0,设备相关外购管理共识|详见【稽核答疑群】（图1|提交外购审批做门店留档|门店早期外购的设备器具|门店早期外购设备器具|后续提交审批被拒,设备相关外购管理共识,稽核共识.xlsx,2025-08-04 11:30:32,启用,
CS-0165,非高原门店冷藏珍珠,None,储存与离地问题,①贴了生粉圆的风味贴但没有报备研发，暂提醒门店不做记录，等通知确认 ②未贴风味贴，扣储存 （高原门店指：云南贵州四川湖南）,按场景判定,,非高原门店冷藏珍珠|暂提醒门店不做记录|等通知确认|②未贴风味贴|扣储存,非高原门店冷藏珍珠,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0169,【多门头门店】允许在不同门头下方均张贴大横幅,297,其他特殊判定,例如常见的转角门店在转角两侧的门头下均张贴大横幅，无须提醒门店整改,否,0,无须提醒门店整改,【多门头门店】允许在不同门头下方均张贴大横幅,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0171,高峰期稽核,None,其他特殊判定,实地巡检期间调饮区出现 3杯 及以上饮品统一视为高峰期，操作台上方物料未加盖不进行稽核,按场景判定,,高峰期稽核|实地巡检期间调饮区出现|3杯|及以上饮品统一视为高峰期,高峰期稽核,稽核共识.xlsx,2024-11-06 11:27:44,启用,
CS-0172,咖啡机药品效期问题,None,物料效期问题,此款咖啡机药品无效期，暂不做扣分,按场景判定,,咖啡机药品效期问题|此款咖啡机药品无效期|暂不做扣分,咖啡机药品效期问题,稽核共识.xlsx,2024-11-06 11:32:37,启用,
CS-0173,虫害管理相关共识,309,虫害与消杀问题,"1.发现虫害尸体（可见图1） a:器具上扣5分交叉 b:冰块、食品中扣15分虫害 c:其他地方扣1分清洁卫生 2.发现蟑螂活体： 在门店发现蟑螂活体即扣15分，特殊情况如下： a.虫害公司 上门服务的7天内，提醒不扣分 ,（蟑螂有应激反应） b.虫害公司 上门服务的7天内，若蟑螂出现在食品内或冰块内 ，-15分 （关于虫害扣分，若门店在巡检前有上报消杀，均不扣分）",按场景判定,多档:1|5|15,虫害管理相关共识|a:器具上扣5分交叉|b:冰块|食品中扣15分虫害|2.发现蟑螂活体|特殊情况如下,虫害管理相关共识,稽核共识.xlsx,2025-08-04 14:45:52,启用,
CS-0174,门店预称量准备使用的物料,None,物料效期问题,实地发现门店奶C粉提前称取好用于泡制奶茶，未张贴风味贴，需要验证核实是否是用于奶茶操作，可现场复称奶C数据是否正确， 数据正确可不进行扣分 同理可类比其他待使用的物料,按场景判定,,门店预称量准备使用的物料|未张贴风味贴|数据正确可不进行扣分,门店预称量准备使用的物料,稽核共识.xlsx,2024-11-06 11:36:52,启用,
CS-0175,后厨设备维护相关共识,46,虫害与消杀问题,"1.关于制冰机扣分尺度： a.月度维养门店均不扣 （且不用拆制冰区） b.非月度维养门店： 公司设备原因提醒不扣 ，例如：制冰板脱镍、水泵脱漆/有水垢、内部零件生锈等； 非公司设备原因扣分 ，例如清洁不良导致的积垢、发霉，异物、虫害等非设备本身原因的问题； c.关于冰块克重： 克重均值需在7.5-8.5g之间，可测量3次，3次中有1次合格即可(随机尽量选顶部厚的冰块； 如果反馈说是制冰机问题，无法达到克重已报修的，属实可不扣分，正常记录已报修落点； 2.关于净水器扣分尺度： a.新款净水器 :粗滤颜色不再稽核，只稽核效期； b.旧款净水器:门店双PP棉的， 只需查看第二根PP棉的颜色即可 ; 只有粗滤无精滤，需扣分 。 无精滤属于自来水直供，需加装精滤，同时让门店联系设备检测是否需要更换超滤滤芯 3.关于泡茶机扣分尺度： 沥水板、出水口 营运中的污渍不进行扣分 ，提醒门店立即清洁； 4.关于电磁炉扣分尺度： 下方有挡板的，通风处积灰不扣分; (图1） 5.关于冷冻柜扣分尺度： a.结霜扣分标准：其中 一面结霜均超过1cm； （图2） b. 密封条破损，如未订购新 的 ,扣分；",否,0,后厨设备维护相关共识|1.关于制冰机扣分尺度|a.月度维养门店均不扣|且不用拆制冰区|b.非月度维养门店|公司设备原因提醒不扣,后厨设备维护相关共识,稽核共识.xlsx,2025-11-03 16:41:41,启用,
CS-0181,未开封的仙草汁可冷藏储存,None,储存与离地问题,未开封的仙草汁可冷藏储存,按场景判定,,未开封的仙草汁可冷藏储存,未开封的仙草汁可冷藏储存,稽核共识.xlsx,2024-11-22 10:33:26,启用,
CS-0182,25款抹茶液应闷盖,37,外购与非认可物料/器具,25年最新的抹茶液配方要求：冷藏闷盖（与去年不同），故门店无论是放在量桶中（备用）、挤压瓶中均需要冷藏闷盖储存，包保鲜膜也属于闷盖的一种处理方式 挤压瓶的部分黑色盖子可能会出现回弹的情况（可能是品质问题，可能是气压问题）： 故挤压瓶（ 黑色盖子完好无损的情况下 ）未盖好，不做扣分，及时提醒门店重新盖好即可（图1） 但挤压瓶（ 黑色盖子已破损断裂丢失 ），门店已无法完成闷盖操作，则正常记录储存扣分（图2）,按场景判定,,25款抹茶液应闷盖|可能是气压问题|故挤压瓶|黑色盖子完好无损的情况下|未盖好|不做扣分,25款抹茶液应闷盖,稽核共识.xlsx,2025-11-24 12:24:37,启用,
CS-0185,储存中的黑糖珍珠换水稽核,None,储存与离地问题,只要在 【黑糖珍珠赏味期】 内门店有更换一次就不扣分,否,0,储存中的黑糖珍珠换水稽核|只要在|【黑糖珍珠赏味期】|内门店有更换一次就不扣分,储存中的黑糖珍珠换水稽核,稽核共识.xlsx,2024-11-22 10:45:17,启用,
CS-0186,赤砂糖风味贴错误扣分情形,None,物料效期问题,非以下情形均进行扣分 1. 保留完整原包装（实物或照片） 2. 手写到期时间 3. 手写生产时间及保质期 4. 手写生产时间、保质期及到期时间,按场景判定,,赤砂糖风味贴错误扣分情形|非以下情形均进行扣分|手写到期时间|手写生产时间及保质期|手写生产时间|保质期及到期时间,赤砂糖风味贴错误扣分情形,稽核共识.xlsx,2024-11-22 10:51:54,启用,
CS-0189,一次性包材使用扣分尺度,None,外购与非认可物料/器具,一。以下均为 第一次 使用该包材用于储存 ①用于临时周转使用，提醒不扣 判定标准：物料本身的赏味期在当天营运期或打烊前须过期废弃的 例如：奶盖碗里储存香水柠檬片、注塑杯内储存芋泥等 ②用于长期储存物料，正常扣分 判定标准： 物料本身的赏味期可过夜且至少可延长至第二天仍可继续使用的 例如：奶盖碗里储存酷脆（开封） 酷脆（开封）赏味期 14天 ③24小时门店赏味期在1天以内的均判定为临时周转 二。若该一次性包材已明确被 重复 使用，例如用 牛奶瓶装茶汤 等，正常扣一次性包材重复使用 三。若门店用 公司打包袋等非食品级的储存容器/包装 存放食材，扣储存,是,,一次性包材使用扣分尺度|以下均为|第一次|使用该包材用于储存|①用于临时周转使用|提醒不扣,一次性包材使用扣分尺度,稽核共识.xlsx,2025-06-13 16:50:40,启用,
CS-0190,交叉污染中的水果、蔬菜及肉类的扣分尺度,None,交叉污染问题,区分是否扣交叉污染的前提是确认 是否有生熟交叉的情况或风险产生 例如： 已经清洗好 的苹果放置在操作台或冷藏冰箱内，扣行为规范 未清洗的 扣交叉污染，同理可类比蔬菜 肉类 无论生肉熟肉，均为交叉污染 以上情况与存储的容器无关联，若未清洗的苹果存放在袋中或箱子内，且放置在操作台/冷藏冷冻/货架等、仍扣交叉污染 生： 需要门店进行煮制等热加工后才能调饮出售的食品原料（如未经煮制的珍珠、青团等）以及未清洗的原果 熟 （包括即食食品）：成品珍珠、青团等煮制品，清洗后的水果以及不经过煮制等热加工即可食用的冷冻果浆等,是,,交叉污染中的水果|蔬菜及肉类的扣分尺度|例如|已经清洗好|扣行为规范|未清洗的,交叉污染中的水果、蔬菜及肉类的扣分尺度,稽核共识.xlsx,2024-12-12 22:18:24,启用,
CS-0191,原物料破损共识,None,储存与离地问题,门店伙伴对于 物料本身 有明确加工处理动作后 （日常理货、直接平冷解冻除外） ，若门店未在稽核前识别物料有破损，进行扣分 例如： ① 已水浴解冻结束转移至平冷内继续解冻 的 解冻品，若出现破损，进行扣分 （ 水浴为加工处理手段 ） ②直接在平冷内解冻的榴莲果泥/草莓果泥出现破损，不扣分 ③冷冻冰箱内生椰乳 / 储物柜内西米出现破损，不扣分,否,0,原物料破损共识|门店伙伴对于|物料本身|有明确加工处理动作后|日常理货|直接平冷解冻除外,原物料破损共识,稽核共识.xlsx,2024-12-16 16:38:44,启用,
CS-0194,包材过期扣分尺度,43,物料效期问题,包材耗材 满足以下三个先决条件 （①同一批次②配套的③来货时同一箱） ，发现过期仅扣一次（例如配套的宝宝碗盖和宝宝碗）,按场景判定,,包材过期扣分尺度|包材耗材|满足以下三个先决条件,包材过期扣分尺度,稽核共识.xlsx,2024-12-27 13:59:23,启用,
CS-0195,门店设施器具破损稽核尺度,None,证照/记录/人员规范,标准范围： 门店所有的设施器具，包括但不限于：量筒，亚克力碗，门店桌子，凳子等 稽核尺度： 超过1元硬币直径/面积的需要扣分，不足的提醒不扣分 门店可见范围内设施损坏尺度： 门店未报修：门店现场报修，提醒不扣分，报告中记录【下次巡店仍未维修，正常扣分（可维修）】 门店已经报修：不扣分，报告中记录【下次巡店仍未维修，正常扣分（可维修）】,按场景判定,,门店设施器具破损稽核尺度|标准范围|门店所有的设施器具|包括但不限于：量筒|亚克力碗|门店桌子,门店设施器具破损稽核尺度,稽核共识.xlsx,2025-06-12 14:13:09,启用,
CS-0196,关于门店空闲状态定义,28,其他特殊判定,门店空闲： 当前门店无饮品制作 ，正常扣分,是,,关于门店空闲状态定义|门店空闲|当前门店无饮品制作|正常扣分,关于门店空闲状态定义,稽核共识.xlsx,2025-02-18 14:57:28,启用,
CS-0197,店内吃饭尺度,333,其他特殊判定,门店店员穿着工服在店内吃饭 1.在顾客 可视生产区内吃东西 （吧台/调饮区），正常扣分 2.在顾客可视区内但 没有穿工服 （如：客席区等），提醒不扣分,按场景判定,,店内吃饭尺度|1.在顾客|可视生产区内吃东西|吧台/调饮区|正常扣分|2.在顾客可视区内但,店内吃饭尺度,稽核共识.xlsx,2025-06-23 19:10:45,启用,
CS-0198,门店K项环境卫生共识,None,设备器具清洁/霉变/积垢,关于顾客可视区域内堆放物料尺度 门店店内环境过小，可放置货架在吧台侧边的通道处放置包材物料 门店过小（ 实际判断店内无法存放的 ），无法存放清洁工具等器具，只要不放门店正前方即可（侧面或者后门均可） 关于门店设施破损扣分尺度 针对门店的设施如：桌子，地面，墙面等（不含公司装修可维护的） 破损扣分程度：需要超过一个硬币大小才扣分，不足的在报告中提醒就好,按场景判定,,门店K项环境卫生共识|门店店内环境过小|门店过小|实际判断店内无法存放的|无法存放清洁工具等器具|关于门店设施破损扣分尺度,门店K项环境卫生共识,稽核共识.xlsx,2025-06-05 14:38:15,启用,
CS-0199,调饮区常温物料储存尺度,37,储存与离地问题,常温物料 ：珍珠、西米等半成品 系统内 ： 低峰期 未盖盖储存在操作台（常温物料）-未盖盖储存在操作台（常温物料） 修改内容 ：删除了低峰期 内部共识 ：低峰期为内部扣分尺度，对外任何时候物料均需盖盖储存 低峰期 ：无饮品操作 高峰期 ：饮品超过3杯（包括小票机）,按场景判定,,调饮区常温物料储存尺度|常温物料|珍珠|西米等半成品|系统内|低峰期,调饮区常温物料储存尺度,稽核共识.xlsx,2025-03-05 01:50:45,启用,
CS-0200,门店员工须遵守在店着装及行为要求共识,12,证照/记录/人员规范,1.关于工服稽核标准共识 以下情况不扣分： 一、因公司原因断货没穿工服 二、全店 统一穿 公司文化衫 三、店员在店内没穿工服，但是没有进行操作 四、非门店人员进行操作、老板临时帮忙（例如督导、公司维修等） 2.关于口罩佩戴共识： 口罩未佩戴好（未遮住口鼻等），提醒； 3.关于鞋子共识： 所有鞋都不扣分 ，非仪容仪表图内要求的鞋子种类均提醒；（图1） 4.关于头发、指甲共识： 男生头发盖颈、女生碎发露出不扣分； 从前往后看看不到指甲不扣分 5.关于冰袖共识： 冰丝冰袖缩短使用或裁剪使用，不扣分； 6.关于双眼皮贴、痘痘贴等共识： 门店伙伴有贴双眼皮贴、痘痘贴要扣分； 7.关于项链共识：项链坠子是否外露为判断标准 a.项链坠子在衣服外，需扣分； b.项链坠子在衣服内，只能看到项链链条，提醒； 8.关于吧台发现玩手机共识： a.若核实是 私人手机，需扣分 ； b.若核实为 门店手机，不扣分； 9.关于私人物品存放共识： 私人物品（如可乐等） 张贴禁用标志放在操作区 ，扣行为规范； 10.关于工服穿戴 冬季外套搭配夏季围裙，扣分 11.员工休息时，除了抽烟扣分，其余行为不扣分,否,0,1.关于工服稽核标准共识|以下情况不扣分|因公司原因断货没穿工服|全店|统一穿|公司文化衫,门店员工须遵守在店着装及行为要求共识,稽核共识.xlsx,2025-10-28 15:29:07,启用,
CS-0201,关于毛巾共识问题更新,34,交叉污染问题,除棕色毛巾外其他毛巾之间无论是否混放/接触均不扣分（图1） 绿色/蓝色/棕色 毛巾和食品操作器具悬挂在一起， 无接触 扣清洁工具定位， 有接触 扣交叉污染（图2图3） 特殊： 绿色毛巾，门店反馈为专用清洁食品器具内部或者消毒后并未使用悬挂在此，不扣分 棕色毛巾放置在操作台上或使用在不可使用区域（区域范围详见古茗学院），扣交叉污染 白色毛巾用于其他地方均扣交叉，其他毛巾代替白色毛巾扣交叉污染 棕色毛巾 与其他毛巾悬挂在一起，未接触提醒不扣，接触扣定位（图4） 清洁工具和食品器具接触是否扣分，需要根据现场情况进行判断是否可能产生交叉污染的风险，并非一刀切 举例： 图5：粘板下垫毛巾，实际为非食品接触面接触，风险较低，不扣 图6：无脚滤盆下垫毛巾，滤盆冲洗煮制品时，污染源会随孔洞污染食品，故扣交叉；反之有脚滤盆下垫毛巾，实际无食品接触可能，不扣。,按场景判定,,关于毛巾共识问题更新|绿色/蓝色/棕色|无接触|扣清洁工具定位|有接触|扣交叉污染（图2图3,关于毛巾共识问题更新,稽核共识.xlsx,2025-06-13 13:36:00,启用,
CS-0206,盐效期共识,None,物料效期问题,盐的效期切换导致门店存在2种效期， 实地稽核时发现门店未留原包装，提醒门店重新打印180天的效期即可 ， 暂不做扣分 ，具体扣分时间等通知,按场景判定,,盐效期共识|暂不做扣分|具体扣分时间等通知,盐效期共识,稽核共识.xlsx,2025-04-23 09:22:19,启用,
CS-0207,关于700ml摇杯稽核,None,物料效期问题,因为仓库700ml的摇杯断货，因此门店使用500ml摇杯操作不扣分（ 本共识有效期为5月）,否,0,关于700ml摇杯稽核|本共识有效期为5月,关于700ml摇杯稽核,稽核共识.xlsx,2025-05-12 16:21:14,启用,
CS-0209,器具维护类相关共识,84,设备器具清洁/霉变/积垢,1.因公司提供器具本身问题， 按扣罐盖子隔层内部 的 清洁发霉 问题不作为稽核点， 提醒 ；（图1） 2.门店将开裂破损的量桶用于盛装工器具 ，若 张贴标识（如【禁止使用】或【装器具】等明确说明/区分用途的标识），提醒不扣分 ;若无任何标识，正常记录扣分； 3.关于器具破损，如 不影响食品安全及功能性 不进行扣分 提醒即可 ； 4. 公司老款密封夹生锈提醒不扣分 ，参考（图2）； 5.门店奶露 滤网中空缝隙处积垢 比较严重，因无法进行拆卸，没法进行清洁， 提醒 ； 6.公司 器具涂层脱落，提醒更换 ； 7.目前由于所有型号的摇杯都可能涉及到柠檬的捶打，故关于 摇杯的底部破损暂不作为扣分点 ，提醒门店及时更换； 8.针对 所有器具破损 扣分程度：需要 超过一个硬币大小才扣分 ，不足的在报告中提醒就好； 9. 明显闲置的设备器具 （例如操作台上已积灰的量桶等） 出现破损积垢等问题点不作扣分 ，发霉、虫鼠害（活体或尸体）除外; a. 霉菌有扩散性 会直接或间接污染生产环境内的物料（例如明显 闲置的器具在冷藏冰箱内环境中扣15分，货架上的扣5分 ） b. 虫鼠害活体/尸体均会携带病毒微生物等污染物 ，同时尸体腐烂后会产生一定异味污染环境；,按场景判定,多档:5|15,器具维护类相关共识|按扣罐盖子隔层内部|清洁发霉|问题不作为稽核点|提醒|图1,器具维护类相关共识,稽核共识.xlsx,2025-06-23 14:39:08,启用,
CS-0210,陈列尺度补充,None,其他特殊判定,门店出现抓娃娃机不稽核，包括内部的东西,按场景判定,,陈列尺度补充|门店出现抓娃娃机不稽核|包括内部的东西,陈列尺度补充,稽核共识.xlsx,2025-07-14 15:37:35,启用,
CS-0211,香蕉牛乳、雀巢淡奶油储存尺度,None,储存与离地问题,香蕉牛乳、雀巢淡奶油未使用保鲜膜密封，不扣分（见图1） 如果门店剪口后，口是敞开的提醒门店盖上保鲜膜,否,0,香蕉牛乳|雀巢淡奶油储存尺度|不扣分（见图1|如果门店剪口后,香蕉牛乳、雀巢淡奶油储存尺度,稽核共识.xlsx,2025-08-04 14:58:42,启用,
CS-0212,食品操作容器使用共识,34,外购与非认可物料/器具,关于【食品操作容器用作清洁容器】扣分尺度 一、食品操作容器 泡器具 无论是去渍还是消毒；若有标识，提醒，若无标识，扣分 二、食品操作容器 泡毛巾 不管是去渍还是消毒：均扣分,按场景判定,,食品操作容器使用共识|食品操作容器|泡器具|无论是去渍还是消毒|若有标识|提醒,食品操作容器使用共识,稽核共识.xlsx,2025-11-05 12:03:09,启用,
CS-0213,关于抹茶液稽核尺度,None,其他特殊判定,抹茶液在 1小时 内有摇匀动作不扣分，但使用前未摇匀落饮品观察点,否,0,关于抹茶液稽核尺度|抹茶液在|1小时|内有摇匀动作不扣分,关于抹茶液稽核尺度,稽核共识.xlsx,2025-10-23 22:05:35,启用,
CS-0214,木制食品器具共识,None,设备器具清洁/霉变/积垢,若门店出现木制食品器具（如木制刀柄等）， 若没有发霉，提醒不扣分 ； 若刀柄这类不与食品直接接触的木制器具发霉，扣5分器具外表面发霉,按场景判定,5,木制食品器具共识|若没有发霉|提醒不扣分|扣5分器具外表面发霉,木制食品器具共识,稽核共识.xlsx,2025-12-05 11:55:28,启用,
CS-0215,草莓摘叶子后需打去蒂效期,None,物料效期问题,一、草莓摘叶子后（无论是否清洗过），由于过程中无法判断是否损伤果肉，因此需打去蒂效期； 1、未清洗的草莓摘叶子，若未打效期，扣无效期 2、清洗后的草莓摘叶子，若打印清洗效期，扣效期错误 二、现场发现草莓摘叶子后未去蒂的状态（见图1） 1、若门店反馈直接称量进行饮品制作，扣5分水果操作 2、若门店反馈会先去蒂再进行饮品制作，提醒不扣分,按场景判定,5,草莓摘叶子后需打去蒂效期|因此需打去蒂效期|未清洗的草莓摘叶子|若未打效期|扣无效期|清洗后的草莓摘叶子,草莓摘叶子后需打去蒂效期,稽核共识.xlsx,2025-12-21 11:11:37,启用,
CS-0216,冷藏/冷冻柜出风口发霉不扣分,None,设备器具清洁/霉变/积垢,冷藏/冷冻柜出风口发霉，由于门店不易清洁/无法清洁，且暂未给出指引，因此提醒不扣分（可见图片案例）,否,0,冷藏/冷冻柜出风口发霉|且暂未给出指引,冷藏/冷冻柜出风口发霉不扣分,稽核共识.xlsx,2025-12-12 17:33:13,启用,
CS-0217,训练店学员行为不扣分,None,其他特殊判定,训练店由带训中学员产生的操作问题均提醒不扣分，由学员产生的其他问题正常扣分,按场景判定,,训练店学员行为不扣分,训练店学员行为不扣分,稽核共识.xlsx,2025-12-22 18:10:19,启用,
